country,code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,best_gdp
Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2256863448.7708597,2069870129.8701298,1272835453.426344,1201312829.2752385,1315158636.6755345,1468317435.2014842,1596968946.2370784,1639492444.7615163,1893726437.2646184,1845482173.0273242,1911563668.8500648,2118467913.378734,2376335048.399756,2807061008.6908445,3576615240.4161587,4900469511.1019125,6384452066.514603,9206301269.791636,11662040713.875309,8647937081.256197,9260285755.624237,10142111824.583546,10619320682.947443,11121464437.04153,11609513246.795767,10553337518.414,10546136235.521862,11527458709.015797,12457940694.73953,13619290539.211607,12641698583.215239,13878908628.937809,19513474648.242935,24212134631.064003,24212134631.064003
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,405586592.17877096,487709497.2067039,596648044.6927375,695530726.2569833,764804469.273743,872067039.1061453,958659217.877095,1083240223.4636872,1245810055.8659217,1320670391.0614524,1379888268.1564245,1531843575.4189944,1665363128.49162,1722905027.9329607,1873452513.9664805,1896456983.2402234,1961843575.4189944,2044111731.8435755,2254830726.2569833,2360017318.435754,2469782681.5642457,2677641340.782123,2843024581.0055866,2553793296.0893855,2453597206.7039104,2637859217.8770947,2615208379.888268,2727849720.670391,2790849720.670391,2962907262.5698323,2983635195.5307264,3092429050.27933,3276184357.541899,3395798882.6815643,2558906303.8809776,3103184101.5135417,3544707788.0566425,,3544707788.0566425
Australia,AUS,18606562977.050076,19682883149.261303,19922563187.61011,21539843446.37495,23801123808.17981,25976164156.186264,27307844369.2551,30442724870.83598,32714085234.253635,36683365869.33854,41333606613.37706,45216647234.66356,52040887850.46729,63830877642.536835,88963890935.88799,97303017888.84338,105059356494.42485,110349850883.2301,118491633469.73026,134898330114.73361,149985515320.33426,176893068617.20654,194038397881.4962,177265418961.89316,193518998163.39618,180637129503.84717,182475517627.30835,189487162519.85178,236154038684.2917,299871835376.0419,311420509067.6277,325966686052.58057,325518458076.53326,312128302417.08826,322802490487.7205,368166023166.0232,401341880620.7279,435642611296.5858,399674421759.47906,389652212056.6487,416167815092.9082,379629301675.1082,395788696012.0592,467739079790.332,614659980082.5154,695692898676.5597,748417562769.6357,855007458585.2241,1056112427190.3767,928762122698.0496,1148890200292.4233,1398701323029.6284,1547649835732.891,1577301840200.0142,1468597690006.215,1351768945139.1135,1207580901578.7236,1326882104817.0027,1429733668185.9053,1394671325960.568,1330381544909.3044,1559033756285.1294,1692956646855.7017,1723827215334.7063,1723827215334.7063
Austria,AUT,6650133914.547951,7375454614.280467,7823686765.350787,8447136819.8396635,9249879078.757586,10081145818.076052,10982543233.368248,11680319624.672781,12549016578.695044,13701141219.245857,15373005557.02567,17858486066.747437,22059612476.93315,29515467706.79598,35189299911.660774,40059206763.056015,42959976221.52335,51545758887.68629,62052259073.24932,73937296963.45857,82058912997.23463,71034228443.06204,71275287569.57329,72121016546.65237,67985344886.871605,69386774408.08725,99036164939.16179,124168442533.73967,133339397080.12927,133105805512.22049,166463386179.35373,173794177961.10782,195078126721.7631,190379720809.18018,203535242741.83835,241038283062.64502,237250948791.26593,212790348404.55518,218259904401.95642,217259147049.95413,197289625479.9063,197508773215.3231,214394866675.2396,262273631180.05435,301457562038.5413,316092273276.01544,336280064332.4113,389185571506.05225,432051935642.9452,401758735822.2107,392275107258.6674,431685217367.51056,409401816050.5313,430190979705.962,442584815286.03375,381971148530.5428,395837353031.499,417261151844.9772,454991174096.1016,444596155845.2542,435049316955.73663,479295362747.0466,470941926750.74115,516034144115.9503,516034144115.9503
Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8884848484.848484,5344000000.0,444658671.5867158,1570392598.1495376,1193141110.3504274,2417331192.9526043,3176507376.3183618,3962362387.479221,4446368570.690101,4581248566.501584,5272615722.968918,5707616203.720108,6236087738.282841,7276413079.114511,8680405740.941248,13245421880.834042,20981929497.618767,33049419431.224392,48851293785.44826,44292427184.94917,52909294791.92624,65952796427.94731,69679944504.19719,74160560123.69016,75239785452.10219,53076235354.74602,37866996882.915695,40866627351.98167,47112470051.77007,48174235294.117645,42693000000.0,54825411764.70589,78807470588.2353,72356176470.58824,78807470588.2353
"Bahamas, The",BHS,169803921.56862745,190098039.21568626,212254901.96078432,237745098.03921568,266666666.66666666,300392156.8627451,340000000.0,390196078.4313725,444901960.78431374,528137254.9019608,538423153.6926148,573400000.0,590900000.0,670900000.0,632400000.0,596200000.0,642100000.0,713000000.0,832400000.0,1139800100.0,1335300000.0,1426500000.0,1578300000.0,1732800000.0,2041100000.0,2320699900.0,2472500000.0,2713999900.0,2817900000.0,3062000000.0,3166000000.0,3111160000.0,3109000000.0,3092000000.0,3259000000.0,3429000000.0,3609000000.0,6332360000.0,6833220000.0,7683870000.0,8076470000.0,8317830000.0,8881160000.0,8870090000.0,9055290000.0,9836200000.0,10167250000.0,10618340000.0,10526000000.0,9981960000.0,10095760000.0,10070450000.0,10720500000.0,10395800000.0,10974100000.0,11671900000.0,11745100000.0,12236700000.0,12615800000.0,13016200000.0,9958200000.0,11368900000.0,13136400000.0,14338500000.0,14338500000.0
Bahrain,BHR,,,,,,,,,,,391577364.829337,422181562.09902996,534081183.55381244,761132544.6077071,1042176882.5478998,1099107600.2596838,1581709519.2985678,1989060283.1105785,2272042966.4425054,2710160740.2835913,3493834466.8394265,3943109531.7956114,4145421079.9796276,4247030467.408351,4440874566.639973,4152376484.4762235,3470746843.808431,3856922695.406995,4209834173.796064,4393093961.837181,4809511004.960319,5248911170.212766,5402232446.808511,5913001063.829787,6330627925.531915,6651180851.063829,6938166755.319149,7219407712.765958,7031309042.553191,7528469148.936171,9062898936.170212,8976196808.51064,9593510638.297873,11074813829.787233,13150159574.468084,15968723404.25532,18504760638.29787,21730000000.0,25710904255.31915,22938218085.106384,25713271276.595745,28776595744.68085,30749308510.638298,32539468085.106384,33387712765.957447,31125851063.82979,32250132978.723404,35423643617.02128,37802005319.14893,38653318085.106384,34621807712.76596,39288670212.76596,44383297872.34042,43205000000.0,44383297872.34042
Bangladesh,BGD,4274894083.3333335,4817580375.0,5081413541.666667,5319458562.5,5386054833.333334,5906636791.666667,6439687854.166667,7253575687.5,7483685770.833334,8471006437.5,8992722166.666668,8751843187.5,6288245866.666667,8086725729.340702,12512460519.708761,19448348073.456512,10117113333.333334,9651149301.874596,13281767142.857143,15565480321.944809,18138049095.607235,20249694002.44798,18525399201.596806,17609048821.54882,18920840000.0,22278423076.923077,21774033333.333332,24298032258.064518,26579005558.365208,28781715188.891914,31598340778.216366,30957483949.57983,31708874594.164455,33166519417.98942,33768660882.793015,37939748768.656715,46438484107.57946,48244309133.489456,49984559471.36564,51270569883.52746,53369787318.62453,53991289844.32913,54724081490.510185,60158929188.255615,65108544250.04247,69476001429.86258,71795735672.01486,79611644984.35574,91636997445.24236,102475158462.5109,115275540861.35988,128607482927.46777,133310747047.52785,149998957327.0292,172886611131.25522,195146607942.29083,265224514652.99173,293732447017.3276,321362751137.57434,351231655150.82745,373979442653.34265,416271647002.4352,460131688909.3012,437415331040.9943,460131688909.3012
Barbados,BRB,80021380.2934078,85363261.48789419,88782065.452366,99893178.33689786,99252152.59355949,105021384.28360496,113194462.51116899,125553936.24222255,125733668.572354,141393142.225575,166210202.81050453,186824232.861676,213723103.1165341,260770622.81761944,311809337.4732126,402178605.01955354,435911268.5896796,495097667.9290412,552883707.0551385,670362452.1453787,1012280614.5279174,1114204743.2009149,1163923830.3584747,1236016506.7369363,1346890071.0982947,1409536120.91682,1547755183.2148364,1704370307.7611496,1812757917.76463,2006165166.8075376,2012131457.2664447,2020583702.0832298,1957000000.0,2063342117.0387313,2151344901.307612,2216974096.3555913,2363645403.470392,2498384129.6673794,2817083478.3473377,2951822204.544325,3059500000.0,3054500000.0,3106500000.0,3209500000.0,3444500000.0,3819500000.0,4217323400.0,4675767950.0,4790410400.0,4466809600.0,4534772750.0,4662343500.0,4622687600.0,4693452700.0,4711838650.0,4738650450.0,4848210350.0,5000457800.0,5128345200.0,5367139250.0,4779756550.0,4945276000.0,5840673700.0,6393564189.61345,6393564189.61345
Belarus,BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9200000000.0,16416666666.666666,14952100840.336134,13970425776.75489,14756846153.846155,14130585516.178738,15221352698.894428,12138243080.625751,12736780455.15395,12354820143.884892,14594900944.765818,17825444724.487755,23141566292.94622,30210091836.82945,36961894281.34442,45275711995.82495,60752106347.12601,50873167326.04142,57231904542.87547,61762382327.93193,65685890438.89215,75527558966.44727,78812805039.07434,56454889146.60878,47723545321.25899,54725302249.808784,60031173807.719635,64410122847.3508,61371755326.2351,69673747131.86996,73775179924.60303,71857382745.6066,78812805039.07434
